year,unemployment
1991-01-01,7.72
1992-01-01,7.73
1993-01-01,7.75
1994-01-01,7.65
1995-01-01,7.61
1996-01-01,7.56
1997-01-01,7.61
1998-01-01,7.64
1999-01-01,7.62
2000-01-01,7.62
2001-01-01,7.65
2002-01-01,7.75
2003-01-01,7.68
2004-01-01,7.63
2005-01-01,7.55
2006-01-01,7.55
2007-01-01,7.56
2008-01-01,7.66
2009-01-01,7.66
2010-01-01,7.65
2011-01-01,7.62
2012-01-01,7.67
2013-01-01,7.71
2014-01-01,7.67
2015-01-01,7.63
2016-01-01,7.6
2017-01-01,7.62
2018-01-01,7.65
2019-01-01,6.51
2020-01-01,7.86
2021-01-01,6.38
2022-01-01,4.82
2023-01-01,4.17
2024-01-01,4.2
